cycle_id,first_hike,last_hike,pause_start,first_cut,n_hikes,cumulative_hike_bp,target_before_first_hike,target_after_last_hike,complete_through_first_cut
T01_1983,1983-03-31,1983-08-11,,1983-08-17,6,106.25,8.5,9.5625,True
T02_1984,1984-03-29,1984-08-09,1984-08-21,1984-09-20,4,212.5,9.375,11.5,True
T03_1987,1987-01-05,1987-05-22,,1987-07-02,3,87.5,5.875,6.75,True
T04_1987,1987-08-27,1987-09-24,1987-11-03,1987-11-04,4,68.75,6.625,7.3125,True
T05_1988,1988-03-30,1989-05-17,,1989-06-06,16,331.25,6.5,9.8125,True
T06_1994,1994-02-04,1995-02-01,1995-03-28,1995-07-06,7,300.0,3.0,6.0,True
T07_1999,1999-06-30,2000-05-16,2000-06-28,2001-01-03,6,175.0,4.75,6.5,True
T08_2004,2004-06-30,2006-06-29,2006-08-08,2007-09-18,17,425.0,1.0,5.25,True
T09_2015,2015-12-16,2018-12-20,2019-01-30,2019-08-01,9,225.0,0.125,2.375,True
T10_2022,2022-03-17,2023-07-27,2023-09-20,2024-09-19,11,525.0,0.125,5.375,True
